feature,RF,XGB
kd_ratio,0.26919467010127246,0.5829244
total_blocked,0.14575086209241028,0.0
totalCast,0.12804120217805934,0.065786436
ratio_cast_Blast,0.07265832703413033,0.099464
kills_per_min,0.058462670708797064,0.05615812
time_per_level,0.05578205266392088,0.0
cast_accuracy,0.048946767336167984,0.0
status_Burn,0.044294654236867397,0.0
ratio_cast_Projectile,0.03933815207351807,0.0
spell_entropy,0.030203500575947,0.052045923
ratio_cast_Beam,0.020440567947584944,0.0007193506
status_Stun,0.01803172077407465,0.14290182
totalDeaths,0.01771282713552073,0.0
ratio_cast_AOE,0.01603190508087178,0.0
n_spells_used,0.013579648482586176,0.0
status_Slow,0.010324056585688924,0.0
status_Knockback,0.00970789124722269,0.0
ratio_cast_Aura,0.001498523745359194,0.0
ratio_cast_Shield,0.0,0.0
