test,variable,statistic,p_value,p_bonferroni,effect_size,interpretation,tipo
Shapiro-Wilk,kd_ratio,0.8334,0.0,,,No normal,normalidad
Shapiro-Wilk,kills_per_min,0.9242,0.0118,,,No normal,normalidad
Shapiro-Wilk,cast_accuracy,0.8924,0.0013,,,No normal,normalidad
Shapiro-Wilk,totalDeaths,0.7403,0.0,,,No normal,normalidad
Shapiro-Wilk,levelsCompleted,0.8498,0.0001,,,No normal,normalidad
Kruskal-Wallis,kd_ratio,0.3213,0.956,,0.0,Sin diferencia significativa,diferencia_elementos
Kruskal-Wallis,kills_per_min,7.9209,0.0477,,0.1406,Diferencia significativa,diferencia_elementos
Kruskal-Wallis,cast_accuracy,5.4611,0.141,,0.0703,Sin diferencia significativa,diferencia_elementos
Kruskal-Wallis,totalDeaths,2.0562,0.5608,,0.0,Sin diferencia significativa,diferencia_elementos
Kruskal-Wallis,levelsCompleted,1.277,0.7346,,0.0,Sin diferencia significativa,diferencia_elementos
Spearman,kd_ratio vs isVictory,0.7418,0.0,0.0,0.7418,Significativa (Bonferroni),causal
Spearman,kills_per_min vs isVictory,0.4245,0.0071,0.099,0.4245,Significativa (sin ajuste),causal
Spearman,cast_accuracy vs isVictory,0.2912,0.072,1.0,0.2912,No significativa,causal
Spearman,totalDeaths vs isVictory,-0.0193,0.907,1.0,0.0193,No significativa,causal
Spearman,completion_rate vs isVictory,0.5096,0.0009,0.0129,0.5096,Significativa (Bonferroni),causal
Spearman,total_blocked vs isVictory,0.3262,0.0427,0.5976,0.3262,Significativa (sin ajuste),causal
Spearman,cast_accuracy_Projectile vs isVictory,0.2666,0.1009,1.0,0.2666,No significativa,causal
Spearman,cast_accuracy_AOE vs isVictory,0.1789,0.3113,1.0,0.1789,No significativa,causal
Spearman,status_Burn vs isVictory,0.1617,0.3255,1.0,0.1617,No significativa,causal
Spearman,status_Stun vs isVictory,0.1259,0.445,1.0,0.1259,No significativa,causal
Spearman,status_Slow vs isVictory,0.0515,0.7557,1.0,0.0515,No significativa,causal
Spearman,status_Knockback vs isVictory,-0.1101,0.5048,1.0,0.1101,No significativa,causal
Spearman,levelsCompleted vs isVictory,0.8243,0.0,0.0,0.8243,Significativa (Bonferroni),SALIDA
Spearman,totalRooms vs isVictory,0.8088,0.0,0.0,0.8088,Significativa (Bonferroni),SALIDA
Chi-squared,isVictory x playerElement,0.879,0.8305,,0.1501,Sin asociación significativa,asociacion
Mann-Kendall,kd_ratio,-103.0,0.2162,,-0.139,no trend,tendencia_temporal
Mann-Kendall,kills_per_min,87.0,0.2982,,0.1174,no trend,tendencia_temporal
Mann-Kendall,totalDeaths,279.0,0.0002,,0.3765,increasing,tendencia_temporal
chi2_spell_victory,dominant_spell x isVictory,0.0,1.0,,,No significativo,asociacion
spearman_attempt_deaths,attempt vs deaths (global niveles),0.1732,0.1045,,,Sin patron claro,correlacion
spearman_timesecs_deaths_sala,timeSecs sala vs deaths sala,0.0228,0.5874,,,No significativo,correlacion
